sequence,date,type,status,actualConversationPages,title,corePdfUrl,sourcePacketUrl,sourcePdfPages,readingPacketPages,actualConversationPacketPages,markerPage,pddReferences,publicStatementsSameDay,publicStatementsNearby,sourceCopies,strobeContext,naraSupport,frusSourceNote,compilerAction
"40","1996-04-09","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","369-373","241-246","241-245","362","","","","1lGJCeA3FFPSqmmsNnXNA64B6koOy56ZB: 960409 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1lGJCeA3FFPSqmmsNnXNA64B6koOy56ZB/view>","1996-04-12 (+3 days) April 12, 1996 Note From Strobe To Chris <https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000072/C09000072.pdf>; 1996-04-12 (+3 days) YELTSIN-TALBOTT MEETING, APRIL 11, 1996 <https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697702/C06697702.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1093, Folder Title/Record ID 9602172, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"41","1996-04-21","Memcon","counted","13","POTUS-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","381-393","247-260","247-259","377","","1996-04-21 (same day) The President's News Conference With President Boris Yeltsin of Russia in Moscow [pp. 610-616] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg610.pdf>; 1996-04-21 (same day) Russia-U.S. Joint Statement on the Highly Enriched Uranium Agreement: Transparency Measures [p. 617] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg617.pdf>","1996-04-20 (-1 days) Remarks Prior to Discussions With Prime Minister John Major of the United Kingdom in Moscow, Russia [p. 602] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg602.pdf>; 1996-04-20 (-1 days) The President's News Conference in Moscow [pp. 604-609] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg604.pdf>","14NhGIMpynoxRlqbrA48-tTTGziPFz-B_: 960421 Clinton and Yeltsin in the Kremlin memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/14NhGIMpynoxRlqbrA48-tTTGziPFz-B_/view>; C06697699: POTUS-Yeltsin One-on-One (Strobe FOIA copy of the April 21, 1996 Moscow one-on-one pages 1-13; duplicate source copy, not counted again.) <https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697699/C06697699.pdf>","1996-04-21 (same day) POTUS-Yeltsin One-on-One <https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697699/C06697699.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 43319, Folder Title/Record ID 9602708, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"42","1996-04-21","Memcon","counted","7","Luncheon Meeting with Russian President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","7-13","261-268","261-267","2","","1996-04-21 (same day) The President's News Conference With President Boris Yeltsin of Russia in Moscow [pp. 610-616] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg610.pdf>; 1996-04-21 (same day) Russia-U.S. Joint Statement on the Highly Enriched Uranium Agreement: Transparency Measures [p. 617] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg617.pdf>","1996-04-20 (-1 days) Remarks Prior to Discussions With Prime Minister John Major of the United Kingdom in Moscow, Russia [p. 602] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg602.pdf>; 1996-04-20 (-1 days) The President's News Conference in Moscow [pp. 604-609] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg604.pdf>","1jOjVAVkV8IeRD0SJmY4krQCH_Jr1oJQl: 960421 Clinton and Yeltsin lunch meeting memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1jOjVAVkV8IeRD0SJmY4krQCH_Jr1oJQl/view>","1996-04-21 (same day) POTUS-Yeltsin One-on-One <https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697699/C06697699.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1100, Folder Title/Record ID 9602963, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"43","1996-05-07","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","25-28","269-273","269-272","19","8:20; 8:32-8:54 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 10 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-007-003-2018.pdf>","","","1C9TLIGhTQ1RQQ6CuX9UG0eQsksrFHvO5: 960507 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1C9TLIGhTQ1RQQ6CuX9UG0eQsksrFHvO5/view>","","1996-05-07 (same day) RUE guidance with current item on POTUS-Yeltsin phone call <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2022/Batch0002/7585721-20060996F-012-003-2022.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1101, Folder Title/Record ID 9603149, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"44","1996-06-18","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, June 18, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-06-18-telcon-39.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","39-40","274-276","274-275","33","","1996-06-18 (same day) Statement on the Russian Presidential Election [p. 928] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg928-2.pdf>","","1WFu5nHDo4uSM89CiS2CvB-vhCG76XUy3: 960618 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1WFu5nHDo4uSM89CiS2CvB-vhCG76XUy3/view>; C09000056: Transmittal Memorandum of Telephone Conversation with Russian Boris Yeltsin w/Attachment(s) (Strobe FOIA packet; actual June 18, 1996 telcon is pages 3-4, with transmittal and unrelated attachments excluded.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000056/C09000056.pdf>; C09000028: Memorandum of Conversation between President Clinton and President Yeltsin on 6/18/96 (Strobe FOIA cable copy of the June 18, 1996 call; duplicate source copy, not counted again.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000028/C09000028.pdf>","1996-06-18 (same day) Transmittal Memorandum of Telephone Conversation with Russian Boris Yeltsin w/Attachment(s) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000056/C09000056.pdf>; 1996-06-19 (+1 days) G-7 working Dinner w/Attached Fax Cover Sheet <https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000029/C09000029.pdf>; 1996-06-20 (+2 days) Memorandum of Conversation between President Clinton and President Yeltsin on 6/18/96 <https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000028/C09000028.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9604219, Original OA/ID 1108, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"45","1996-07-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, July 5, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-07-05-telcon-40.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","49-51","277-280","277-279","44","8:40; 9:05-9:27 The President was telephoned by Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 6 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-007-005-2018.pdf>","","","17IU8SnZtm4swpzXILw5JnpUXQ3PEx1ql: 960705 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/17IU8SnZtm4swpzXILw5JnpUXQ3PEx1ql/view>","1996-07-05 (same day) TRANSMITTAL OF MEMORANDUM OF CONVERSATION WITH RUSSIAN PRIME MINISTER CHERNOMYRDIN <https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697692/C06697692.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9604660, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"46","1996-09-15","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, September 15, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-09-15-telcon-41.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","64-65","281-283","281-282","58","","","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9606243, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate."
"47","1996-12-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, December 5, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-12-05-telcon-42.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","77-79","284-287","284-286","70","","","","C06699017: Conversation with President Boris Yeltsin of Russia (Strobe FOIA copy of the December 5, 1996 telcon pages 1-3; duplicate source copy, not counted again.) <https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06699017/C06699017.pdf>","1996-12-05 (same day) Conversation with President Boris Yeltsin of Russia <https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06699017/C06699017.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9607896, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"48","1997-02-27","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","87-89","288-291","288-290","82","","","","1HVoBqp-n_57yMZlA7nWh-mMXEdBUum5Q: 970227 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1HVoBqp-n_57yMZlA7nWh-mMXEdBUum5Q/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1604, Folder Title/Record ID 9701361, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"49","1997-03-21","Memcon","counted","11","Helsinki Morning Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","105-115","292-303","292-302","97","","1997-03-21 (same day) The President's News Conference With President Boris Yeltsin of Russia in Helsinki [pp. 331-340] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg331-2.pdf>; 1997-03-21 (same day) Exchange With Reporters on Greeting President Boris Yeltsin of Russia and President Martti Ahtisaari of Finland in Helsinki [pp. 330-331] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg330-2.pdf>; 1997-03-21 (same day) Exchange With Reporters Prior to Discussions With President Boris Yeltsin of Russia in Helsinki [p. 331] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg331.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement Concerning the Anti-Ballistic Missile Treaty [pp. 341-342] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg341.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on Chemical Weapons [pp. 342-343] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg342.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on European Security [pp. 343-344] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg343.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on Parameters on Future Reduction in Nuclear Forces [pp. 340-341] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg340.pdf>; 1997-03-21 (same day) Joint Statement on United States-Russia Economic Initiative [pp. 344-346] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg344.pdf>","","1sBvI46_5rIq0yKZ1b7nf67To2f5foPmf: 970321 950am to 1155am Clinton and Yeltsin in Helsinki memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1sBvI46_5rIq0yKZ1b7nf67To2f5foPmf/view>","1997-03-20 (-1 days) CLINTON, YELTSIN PREPARE FOR SUMMIT TALKS <https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000062/C09000062.pdf>","1997-03-17 (-4 days) President Ulmanis letter on the upcoming Helsinki summit with Yeltsin <https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20111037F-012-012-2015.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"50","1997-03-21","Memcon","counted","8","Helsinki Working Lunch with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","116-123","304-312","304-311","97","","1997-03-21 (same day) The President's News Conference With President Boris Yeltsin of Russia in Helsinki [pp. 331-340] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg331-2.pdf>; 1997-03-21 (same day) Exchange With Reporters on Greeting President Boris Yeltsin of Russia and President Martti Ahtisaari of Finland in Helsinki [pp. 330-331] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg330-2.pdf>; 1997-03-21 (same day) Exchange With Reporters Prior to Discussions With President Boris Yeltsin of Russia in Helsinki [p. 331] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg331.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on European Security [pp. 343-344] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg343.pdf>; 1997-03-21 (same day) Joint Statement on United States-Russia Economic Initiative [pp. 344-346] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg344.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement Concerning the Anti-Ballistic Missile Treaty [pp. 341-342] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg341.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on Chemical Weapons [pp. 342-343] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg342.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on Parameters on Future Reduction in Nuclear Forces [pp. 340-341] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg340.pdf>","","1FvtlBsBnOZu4uFuqxfjLe9Fdj9iaT8dY: 970321 Working Lunch Clinton and Yeltsin in Helsinki memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1FvtlBsBnOZu4uFuqxfjLe9Fdj9iaT8dY/view>","1997-03-20 (-1 days) CLINTON, YELTSIN PREPARE FOR SUMMIT TALKS <https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000062/C09000062.pdf>","1997-03-17 (-4 days) President Ulmanis letter on the upcoming Helsinki summit with Yeltsin <https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20111037F-012-012-2015.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"51","1997-03-21","Memcon","counted","4","Helsinki Afternoon Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","124-127","313-317","313-316","97","","1997-03-21 (same day) The President's News Conference With President Boris Yeltsin of Russia in Helsinki [pp. 331-340] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg331-2.pdf>; 1997-03-21 (same day) Exchange With Reporters on Greeting President Boris Yeltsin of Russia and President Martti Ahtisaari of Finland in Helsinki [pp. 330-331] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg330-2.pdf>; 1997-03-21 (same day) Exchange With Reporters Prior to Discussions With President Boris Yeltsin of Russia in Helsinki [p. 331] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg331.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on European Security [pp. 343-344] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg343.pdf>; 1997-03-21 (same day) Joint Statement on United States-Russia Economic Initiative [pp. 344-346] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg344.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement Concerning the Anti-Ballistic Missile Treaty [pp. 341-342] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg341.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on Chemical Weapons [pp. 342-343] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg342.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on Parameters on Future Reduction in Nuclear Forces [pp. 340-341] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg340.pdf>","","1zmToE2EEbOlex2gl6Nv1ULdECLF8PDWM: 970321 Afternoon Meeting Clinton and Yeltsin in Helsinki memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1zmToE2EEbOlex2gl6Nv1ULdECLF8PDWM/view>","1997-03-20 (-1 days) CLINTON, YELTSIN PREPARE FOR SUMMIT TALKS <https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000062/C09000062.pdf>","1997-03-17 (-4 days) President Ulmanis letter on the upcoming Helsinki summit with Yeltsin <https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20111037F-012-012-2015.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
