order,date,type,status,actualConversationPages,documentTitle,source,sourcePdfPages,markerPage,localDerivativePdf,sourcePacketUrl,catalogUrl,googleDriveFiles,strobeFiles,frusSourceNote,extractionStatus,compilerAction
"48","1996-07-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, July 5, 1996, White House","2015-0782-M-2","49-51","44","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-07-05-telcon-40.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/17IU8SnZtm4swpzXILw5JnpUXQ3PEx1ql/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9604660, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 49-51 from 2015-0782-M-2 and appended original marker page 44 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 49-51 from 2015-0782-M-2 and appended original marker page 44 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"49","1996-09-15","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, September 15, 1996, White House","2015-0782-M-2","64-65","58","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-09-15-telcon-41.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9606243, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 64-65 from 2015-0782-M-2 and appended original marker page 58 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 64-65 from 2015-0782-M-2 and appended original marker page 58 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"50","1996-12-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, December 5, 1996, White House","2015-0782-M-2","77-79","70","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-12-05-telcon-42.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06699017/C06699017.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9607896, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 77-79 from 2015-0782-M-2 and appended original marker page 70 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 77-79 from 2015-0782-M-2 and appended original marker page 70 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"51","1997-02-27","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House","2015-0782-M-2","87-89","82","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1HVoBqp-n_57yMZlA7nWh-mMXEdBUum5Q/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1604, Folder Title/Record ID 9701361, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 87-89 from 2015-0782-M-2 and appended original marker page 82 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 87-89 from 2015-0782-M-2 and appended original marker page 82 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"52","1997-03-21","Memcon","counted","11","Helsinki Morning Meeting with President Boris Yeltsin","2015-0782-M-2","105-115","97","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1sBvI46_5rIq0yKZ1b7nf67To2f5foPmf/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 105-115 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 105-115 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"53","1997-03-21","Memcon","counted","8","Helsinki Working Lunch with President Boris Yeltsin","2015-0782-M-2","116-123","97","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1FvtlBsBnOZu4uFuqxfjLe9Fdj9iaT8dY/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 116-123 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 116-123 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"54","1997-03-21","Memcon","counted","4","Helsinki Afternoon Meeting with President Boris Yeltsin","2015-0782-M-2","124-127","97","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1zmToE2EEbOlex2gl6Nv1ULdECLF8PDWM/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 124-127 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 124-127 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"55","1997-03-21","Memcon","counted","6","Helsinki Private Dinner with President Boris Yeltsin","2015-0782-M-2","128-133","97","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1KLOMwJsMKTaMp-3fsDHGk24zWvqLh6ou/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 128-133 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 128-133 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"56","1997-05-27","Memcon","counted","8","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","2015-0782-M-2","143-150","137","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1VNFoDJYteyNDoWqrRuAWT8iLIAiHpFzh/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1623, Folder Title/Record ID 9703720, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 143-150 from 2015-0782-M-2 and appended original marker page 137 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 143-150 from 2015-0782-M-2 and appended original marker page 137 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"57","1997-06-20","Memcon","counted","8","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","2015-0782-M-2","165-172","158","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1068D97hQCXClJSz5sIQkmPDuuW_yCf5K/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1629, Folder Title/Record ID 9704607, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 165-172 from 2015-0782-M-2 and appended original marker page 158 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 165-172 from 2015-0782-M-2 and appended original marker page 158 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"58","1997-10-30","Telcon","counted","6","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","2015-0782-M-2","183-188","177","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1fT5AgUtzJunIagUVKSoKio6YudL2rLEx/view","https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2024/FL-2017-13804/DOC_0C09000014/C09000014.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 1651, Folder Title/Record ID 9707450, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 183-188 from 2015-0782-M-2 and appended original marker page 177 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 183-188 from 2015-0782-M-2 and appended original marker page 177 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"59","1997-11-16","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California","2015-0782-M-2","206-208","200","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1c64v-q0n_DF-5kg16qrNjXxT6o4O7iEZ/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1654, Folder Title/Record ID 9707804, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 206-208 from 2015-0782-M-2 and appended original marker page 200 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 206-208 from 2015-0782-M-2 and appended original marker page 200 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"60","1997-11-22","Telcon","counted","6","Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House","2015-0782-M-2","218-223","213","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1PgRJZpQqXva-Kp6ogOhraQElJZl0GXdk/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1655, Folder Title/Record ID 9707985, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 218-223 from 2015-0782-M-2 and appended original marker page 213 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 218-223 from 2015-0782-M-2 and appended original marker page 213 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"61","1998-02-02","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House","2015-0782-M-2","236-239","229","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1mGa3d3xnEIbCrsJNqsQPjAWifdli0Xar/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9800756, Original OA/ID 2014, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 236-239 from 2015-0782-M-2 and appended original marker page 229 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 236-239 from 2015-0782-M-2 and appended original marker page 229 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"62","1998-02-23","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, February 23, 1998, White House","2015-0782-M-2","253-256","247","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-23-telcon-51.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1j7AvpVjmjdRTEhJ4Al4KvPD0ZMiqDVwj/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2018, Folder Title/Record ID 9801337, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 253-256 from 2015-0782-M-2 and appended original marker page 247 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 253-256 from 2015-0782-M-2 and appended original marker page 247 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"63","1998-04-06","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","2015-0782-M-2","274-278","260","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1BCpDN6EIDJyq188YS46cjJgYs2kyzNui/view","https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000007/C09000007.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2027, Folder Title/Record ID 9802448, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 274-278 from 2015-0782-M-2 and appended original marker page 260 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 274-278 from 2015-0782-M-2 and appended original marker page 260 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"64","1998-05-12","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","2015-0782-M-2","286-290","280","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1j3wB3sjgDr43yH8nbu9W4eX35XNb5vTo/view","https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000006/C09000006.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 2036, Folder Title/Record ID 9803457, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 286-290 from 2015-0782-M-2 and appended original marker page 280 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 286-290 from 2015-0782-M-2 and appended original marker page 280 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"65","1998-05-17","Memcon","counted","8","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","2015-0782-M-2","312-319","311","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1IkQrGGfVtGl1fkXMaHmkwjSnmcpTyA7S/view","https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000007/C09000007.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9803752, Original OA/ID 2039, Mandatory Declassification Review 2014-0999-M, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 312-319 from 2015-0782-M-2 and appended original marker page 311 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 312-319 from 2015-0782-M-2 and appended original marker page 311 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"66","1998-05-21","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","2015-0782-M-2","301-303","295","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1_cus2DmP8sCA7HtsHoGspBGaKG5MvjMI/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2038, Folder Title/Record ID 9803714, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 301-303 from 2015-0782-M-2 and appended original marker page 295 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 301-303 from 2015-0782-M-2 and appended original marker page 295 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"67","1998-05-28","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","2015-0782-M-2","329-332","322","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1F2aVY9zTrKysoGW-6-bn5tGdsTGDQ4y5/view","https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000028/C09000028.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2039, Folder Title/Record ID 9803875, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 329-332 from 2015-0782-M-2 and appended original marker page 322 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 329-332 from 2015-0782-M-2 and appended original marker page 322 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"68","1998-06-15","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","2015-0782-M-2","342-346","336","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1hhBx6lIoQXXnyXsHoZxDo7oYNvYHbKsw/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2045, Folder Title/Record ID 9804474, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 342-346 from 2015-0782-M-2 and appended original marker page 336 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 342-346 from 2015-0782-M-2 and appended original marker page 336 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"69","1998-06-16","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, June 16, 1998, White House","2015-0782-M-2","359-360","352","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-16-telcon-59.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9804476, Original OA/ID 2045, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 359-360 from 2015-0782-M-2 and appended original marker page 352 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 359-360 from 2015-0782-M-2 and appended original marker page 352 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
