sequence,date,type,annotationScore,suggestedTreatment,packetPages,actualConversationPacketPages,title,topTopics,topAuthorities,pddReferences,publicPapers,sourceCopyControls,supportLeads,notetaker,interpreter,dateTimePlace,annotationPrompt,pdfUrl
"11","1993-09-21","Telcon","35","Standard annotation review","61-64","61-63","Telephone call with President Boris Yeltsin of Russia, September 21, 1993, White House","Economic Reform / Assistance (7); Russian Politics / Elections (4)","Yeltsin (13); Christopher (1)","1","2","1","0","John Beyrle and Rose Gottemoeller","Demitry Zarechnak","September 21, 1993, 3:56 - 4:13pm White House Residence (President's Study)","Issue context: Economic Reform / Assistance, Russian Politics / Elections. Authority checks: Yeltsin, Christopher. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-21-telcon-11.pdf"
"56","1997-11-16","Telcon","35","Standard annotation review","350-353","350-352","Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California","Iraq / Middle East (9); Arms Control / Nonproliferation (2); Ukraine / Nuclear Security (1)","Yeltsin (11); Primakov (4); Albright (2); UN (2)","0","0","1","0","David Higgins, Mariann Papadimitriou, Larry Wright, James Smith, Pat O'Shaughnessy, Ki Fort","Dimitry Zarechnak","November 16, 1997, 2:04 - 2:15 a.m. EST Malibu, California","Issue context: Iraq / Middle East, Arms Control / Nonproliferation, Ukraine / Nuclear Security. Authority checks: Yeltsin, Primakov, Albright, UN. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf"
"81","1999-06-14","Telcon","34","Standard annotation review","489-493","489-492","Telephone call with President Boris Yeltsin of Russia, June 14, 1999, White House","Kosovo / Balkans (9); NATO / European Security (1)","Yeltsin (15); Albright (1); Gore (1); Ivanov (1)","1","0","1","0","Joel Schrader, Miles Murphy, Matt Sibley, Joel Ehrendreich, Roger Merletti, Doug Bayley, and Andrew Weiss","Nikolai Sorokin","June 14, 1999, 10:06 - 10:32 a.m. Oval Office","Issue context: Kosovo / Balkans, NATO / European Security. Authority checks: Yeltsin, Albright, Gore, Ivanov. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-14-telcon-76.pdf"
"1","1993-01-23","Telcon","33","Standard annotation review","1-4","1-3","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","Economic Reform / Assistance (4); Arms Control / Nonproliferation (3); Iraq / Middle East (2)","Yeltsin (7); Christopher (4); Kozyrev (3); UN (3); Talbott (1)","1","0","1","0","Nicholas Burns, NSC staff","Dmitri Zarechnak","January 23, 1993, 10:45 - 11:17am Oval Office","Issue context: Economic Reform / Assistance, Arms Control / Nonproliferation, Iraq / Middle East. Authority checks: Yeltsin, Christopher, Kozyrev, UN, Talbott. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf"
"47","1996-12-05","Telcon","31","Standard annotation review","284-287","284-286","Telephone call with President Boris Yeltsin of Russia, December 5, 1996, White House","Russian Politics / Elections (3); Economic Reform / Assistance (1)","Yeltsin (14); Chernomyrdin (4); Gore (2); Primakov (1)","0","0","1","1","Katherine O'Loughlin, Larry Wright, Trey Whitworth, Ki Fort, Carlos Pascual, Mike Hamel","Dimitry Zarechnak","December 5, 1996, 9:35-9:50 a.m. Oval Office President Clinton: Hello? (U)","Issue context: Russian Politics / Elections, Economic Reform / Assistance. Authority checks: Yeltsin, Chernomyrdin, Gore, Primakov. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-12-05-telcon-42.pdf"
"63","1998-05-21","Telcon","30","Standard annotation review","392-395","392-394","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","Arms Control / Nonproliferation (2); Iraq / Middle East (1); Russian Politics / Elections (1)","Yeltsin (10)","1","2","1","3","Larry Wright, Bonnie Click, James Smith, Peter Huggins, Jenny McGee, Pat 0'Shaughnessy, Ki Fort","Peter Afanasenko","May 21, 1998, 10:41-1052 a.m. EDT, Oval Office","Issue context: Arms Control / Nonproliferation, Iraq / Middle East, Russian Politics / Elections. Authority checks: Yeltsin. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf"
"12","1993-10-05","Telcon","26","Standard annotation review","65-68","65-67","Telephone call with President Boris Yeltsin of Russia, October 5, 1993, Air Force One","Russian Politics / Elections (4); Economic Reform / Assistance (1)","Yeltsin (12); Christopher (1)","1","1","1","0","John Beyrle","Dmitriy Zarechnak","October 5, 1993, 1:42 - 2:02pm Air Force One","Issue context: Russian Politics / Elections, Economic Reform / Assistance. Authority checks: Yeltsin, Christopher. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-10-05-telcon-12.pdf"
"77","1999-06-07","Telcon","24","Standard annotation review","471-473","471-472","Telephone call with President Boris Yeltsin of Russia, June 7, 1999, White House","Kosovo / Balkans (2)","Yeltsin (9); Ivanov (4); Milosevic (2); Chernomyrdin (1); Gore (1); Talbott (1)","1","0","0","0","Robin Rickard, James Smith Michael Manning, Roger Merletti, Stuart Kaufman","Kyrill Borissow","7 June 1999, 11:07 - 11:14 a.m. EST, Oval Office","Issue context: Kosovo / Balkans. Authority checks: Yeltsin, Ivanov, Milosevic, Chernomyrdin, Gore, Talbott. Use Daily Diary row to verify timing/setting.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-07-telcon-72.pdf"
"85","1999-12-31","Telcon","24","Standard annotation review","518-521","518-520","Telephone call with President Boris Yeltsin of Russia, December 31, 1999, White House","Russian Politics / Elections (5); Arms Control / Nonproliferation (1); Iraq / Middle East (1)","Yeltsin (8)","1","2","1","0","Jenny McGee, Robert Ford, Joel Ehrendreich, and Sean Tarver","","December 31, 1999, 09:02-09:22 p.m. EST Oval Office","Issue context: Russian Politics / Elections, Arms Control / Nonproliferation, Iraq / Middle East. Authority checks: Yeltsin. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-12-31-telcon-80.pdf"
"5","1993-04-26","Telcon","23","Light annotation check","32-34","32-33","Telephone call with President Boris Yeltsin of Russia, April 26, 1993, White House","Economic Reform / Assistance (1)","Yeltsin (12)","1","1","1","1","Beth Banner","Peter Afanasenko","April 26, 1993, 1:50 - 1:58pm Residence","Issue context: Economic Reform / Assistance. Authority checks: Yeltsin. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-26-telcon-05.pdf"
"6","1993-05-02","Telcon","23","Light annotation check","35-37","35-36","Telephone call with President Boris Yeltsin of Russia, May 2, 1993, White House","","Yeltsin (9); Christopher (4)","1","1","1","1","Nicholas Burns","Dmitri Zarechnak","May 2, 1993, 8:45 - 8:51am The Residence","Authority checks: Yeltsin, Christopher. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-02-telcon-06.pdf"
"23","1994-07-05","Telcon","23","Light annotation check","122-125","122-124","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","NATO / European Security (4)","Yeltsin (13); NATO (2)","0","0","1","0","John Beyrle","Kyrill Borissov","5 July 1994, 9:31-9:49 (EDT) Oval Office","Issue context: NATO / European Security. Authority checks: Yeltsin, NATO. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf"
"7","1993-05-10","Telcon","22","Light annotation check","38-40","38-39","Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House","Chechnya / Caucasus (6); Ukraine / Nuclear Security (6)","Yeltsin (6)","1","0","0","0","Christine Potts","Dmitriy Zarechnak","May 10, 1993, 8:12 - 8:19am The Oval Office President Clinton: Hello, Boris. Good morning. (U)","Issue context: Chechnya / Caucasus, Ukraine / Nuclear Security. Authority checks: Yeltsin. Use Daily Diary row to verify timing/setting.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf"
"66","1998-06-16","Telcon","22","Light annotation check","407-409","407-408","Telephone call with President Boris Yeltsin of Russia, June 16, 1998, White House","Kosovo / Balkans (3)","Yeltsin (8); Milosevic (2); Primakov (2); Talbott (1)","1","0","0","1","Tom Crowell, Nick Dowling, Bonnie Click, Joel Schrader, James Smith, Andrew Weiss","Dimitry Zarechnak","June 16, 1998, 10:50 a.m - 10:58 a.m. EDT, Oval Office","Issue context: Kosovo / Balkans. Authority checks: Yeltsin, Milosevic, Primakov, Talbott. Use Daily Diary row to verify timing/setting.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-16-telcon-59.pdf"
"79","1999-06-10","Telcon","20","Light annotation check","478-480","478-479","Telephone call with President Boris Yeltsin of Russia, June 10, 1999, White House","Economic Reform / Assistance (1); Kosovo / Balkans (1)","Yeltsin (8); Chernomyrdin (1); UN (1)","1","2","0","0","George Chastain, Matt Sibley, Sean Tarver, Robert Ford, Roger Merletti, James Smith","Peter Afansenko","June 10, 1999, 10:40 - 10:50 a.m. EST Oval Office","Issue context: Economic Reform / Assistance, Kosovo / Balkans. Authority checks: Yeltsin, Chernomyrdin, UN. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-10-telcon-74.pdf"
"46","1996-09-15","Telcon","16","Light annotation check","281-283","281-282","Telephone call with President Boris Yeltsin of Russia, September 15, 1996, White House","Russian Politics / Elections (1)","Yeltsin (13)","0","0","0","0","Cindy Lawrence, Steve Brennan, Peter Huggins, Ki Fort","Peter Afanasenko","September 15, 1996, 11:04-11:13 a.m. Residence President Clinton: Hello. Hello Boris. (U)","Issue context: Russian Politics / Elections. Authority checks: Yeltsin.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-09-15-telcon-41.pdf"
