sequence,date,type,status,selectionTier,selectionScore,actualConversationPages,packetPages,title,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,annotationTreatment,rationale,suggestedTreatment,decisionRemaining,sourcePdfPages,pdfUrl,sourcePacketUrl,frusSourceNote
"54","1997-03-21","Memcon","counted","Tier 2 - strong candidate","85","4","313-317","Helsinki Afternoon Meeting with President Boris Yeltsin","NATO / European Security (14); Economic Reform / Assistance (5); Arms Control / Nonproliferation (4)","Yeltsin (19); NATO (9); Berger (6); G-7 (2); Primakov (2); Talbott (2)","0","8","1","2","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","124-127","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"55","1997-03-21","Memcon","counted","Tier 2 - strong candidate","95","6","318-324","Helsinki Private Dinner with President Boris Yeltsin","Iraq / Middle East (15); Ukraine / Nuclear Security (12); NATO / European Security (6)","Yeltsin (31); Talbott (4); Chernomyrdin (3); NATO (2)","0","8","1","2","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","128-133","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"56","1997-05-27","Memcon","counted","Tier 1 - likely core","117","8","325-333","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","NATO / European Security (29); Arms Control / Nonproliferation (10); Iraq / Middle East (7)","Yeltsin (31); Primakov (11); NATO (10); Albright (6); Berger (4); Talbott (4)","0","1","1","0","Heavy annotation review","Heavy annotation review; public framing available; source-copy control","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","143-150","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1623, Folder Title/Record ID 9703720, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"57","1997-06-20","Memcon","counted","Tier 1 - likely core","105","8","334-342","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","NATO / European Security (14); Iraq / Middle East (13); Arms Control / Nonproliferation (11)","Yeltsin (31); Primakov (7); Albright (5); NATO (4); UN (4); Berger (3)","0","5","1","0","Heavy annotation review","Heavy annotation review; public framing available; source-copy control","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","165-172","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1629, Folder Title/Record ID 9704607, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"58","1997-10-30","Telcon","counted","Tier 3 - supporting candidate","69","6","343-349","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","Arms Control / Nonproliferation (21); Russian Politics / Elections (5); Iraq / Middle East (3)","Yeltsin (21); Primakov (5); Albright (3); Chernomyrdin (1)","1","0","2","1","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","183-188","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 1651, Folder Title/Record ID 9707450, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"59","1997-11-16","Telcon","counted","Tier 4 - concise/confirmatory","35","3","350-353","Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California","Iraq / Middle East (9); Arms Control / Nonproliferation (2); Ukraine / Nuclear Security (1)","Yeltsin (11); Primakov (4); Albright (2); UN (2)","0","0","1","0","Standard annotation review","Standard annotation review; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","206-208","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1654, Folder Title/Record ID 9707804, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"60","1997-11-22","Telcon","counted","Tier 3 - supporting candidate","46","6","354-360","Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House","Iraq / Middle East (10); Arms Control / Nonproliferation (7); Russian Politics / Elections (5)","Yeltsin (12); Primakov (3); Albright (2); UN (1)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","218-223","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1655, Folder Title/Record ID 9707985, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"61","1998-02-02","Telcon","counted","Tier 4 - concise/confirmatory","44","4","361-365","Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House","Iraq / Middle East (15); Arms Control / Nonproliferation (1); Russian Politics / Elections (1)","Yeltsin (13); Primakov (3); Albright (2); Chernomyrdin (2); Gore (1)","1","0","1","0","Standard annotation review","Standard annotation review; PDD timing check; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","236-239","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9800756, Original OA/ID 2014, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"62","1998-02-23","Telcon","counted","Tier 4 - concise/confirmatory","42","4","366-370","Telephone call with President Boris Yeltsin of Russia, February 23, 1998, White House","Iraq / Middle East (7); Arms Control / Nonproliferation (6); Russian Politics / Elections (3)","Yeltsin (16); Primakov (2); UN (2)","0","0","1","1","Standard annotation review","Standard annotation review; source-copy control; support/context leads","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","253-256","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-23-telcon-51.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2018, Folder Title/Record ID 9801337, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"63","1998-04-06","Telcon","counted","Tier 3 - supporting candidate","49","5","371-376","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","Arms Control / Nonproliferation (8); Kosovo / Balkans (8); Iraq / Middle East (4)","Yeltsin (14); Milosevic (3); Gore (2); Primakov (2); Albright (1); Chernomyrdin (1)","0","0","2","0","Heavy annotation review","Heavy annotation review; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","274-278","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2027, Folder Title/Record ID 9802448, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"64","1998-05-12","Telcon","counted","Tier 3 - supporting candidate","54","5","377-382","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","Arms Control / Nonproliferation (13); Ukraine / Nuclear Security (6); Kosovo / Balkans (5)","Yeltsin (17); Berger (2); Talbott (1)","1","0","2","1","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","286-290","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 2036, Folder Title/Record ID 9803457, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"65","1998-05-17","Memcon","counted","Tier 2 - strong candidate","82","8","383-391","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","Arms Control / Nonproliferation (10); Kosovo / Balkans (9); NATO / European Security (5)","Yeltsin (30); Primakov (4); Berger (3); Chernomyrdin (3); Milosevic (3); UN (3)","0","1","2","3","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","312-319","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9803752, Original OA/ID 2039, Mandatory Declassification Review 2014-0999-M, Declassified documents concerning Russian President Boris Yeltsin."
"66","1998-05-21","Telcon","counted","Tier 4 - concise/confirmatory","30","3","392-395","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","Arms Control / Nonproliferation (2); Iraq / Middle East (1); Russian Politics / Elections (1)","Yeltsin (10)","1","2","1","3","Standard annotation review","Standard annotation review; PDD timing check; public framing available; source-copy control; support/context leads","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","301-303","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2038, Folder Title/Record ID 9803714, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"67","1998-05-28","Telcon","counted","Tier 3 - supporting candidate","48","4","396-400","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","Economic Reform / Assistance (15); Russian Politics / Elections (1); Ukraine / Nuclear Security (1)","Yeltsin (12); IMF (6); Albright (1); Primakov (1); UN (1)","1","0","2","1","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","329-332","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2039, Folder Title/Record ID 9803875, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"68","1998-06-15","Telcon","counted","Tier 2 - strong candidate","83","5","401-406","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","Kosovo / Balkans (25); NATO / European Security (7); Arms Control / Nonproliferation (4)","Yeltsin (13); Milosevic (12); NATO (7); Primakov (3); IMF (2); UN (2)","1","0","1","1","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2045, Folder Title/Record ID 9804474, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"69","1998-06-16","Telcon","counted","Tier 4 - concise/confirmatory","22","2","407-409","Telephone call with President Boris Yeltsin of Russia, June 16, 1998, White House","Kosovo / Balkans (3)","Yeltsin (8); Milosevic (2); Primakov (2); Talbott (1)","1","0","0","1","Light annotation check","Light annotation check; PDD timing check; support/context leads","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","359-360","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-16-telcon-59.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9804476, Original OA/ID 2045, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"70","1998-07-10","Telcon","counted","Tier 3 - supporting candidate","56","4","410-414","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","Russian Politics / Elections (10); Economic Reform / Assistance (7); Iraq / Middle East (3)","Yeltsin (17); IMF (5); Berger (2)","1","0","2","2","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","371-374","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2048, Folder Title/Record ID 9804971, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"71","1998-08-14","Telcon","counted","Tier 3 - supporting candidate","68","6","415-421","Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House","Economic Reform / Assistance (11); Kosovo / Balkans (9); Russian Politics / Elections (9)","Yeltsin (20); IMF (5); Milosevic (5); Albright (1); Gore (1); Primakov (1)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","384-389","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2055, Folder Title/Record ID 9805782, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"72","1998-08-25","Telcon","counted","Tier 4 - concise/confirmatory","39","4","422-426","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","Iraq / Middle East (7); Kosovo / Balkans (4); Arms Control / Nonproliferation (3)","Yeltsin (14); Chernomyrdin (2); Gore (2); Milosevic (1); UN (1)","0","0","1","1","Standard annotation review","Standard annotation review; source-copy control; support/context leads","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","405-408","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2056, Folder Title/Record ID 9805956, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"73","1998-09-01","Memcon","pending","Hard source gap","","","","Meetings with President Boris Yeltsin of Russia, September 1-2, 1998, Moscow, Russia","","","2","3","0","2","Hard source follow-up","PDD corroborates occurrence; Public Papers/context hook exists; No released conversation pages located","Do not select as a document until actual conversation pages are found; use the hard-gap packet for follow-up.","Source decision: locate released actual conversation pages before any document selection.","No released September 1-2, 1998 Moscow memcon pages located in 2015-0782-M-2","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"74","1998-09-12","Telcon","counted","Tier 3 - supporting candidate","50","4","427-431","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","Economic Reform / Assistance (8); Russian Politics / Elections (4); Iraq / Middle East (1)","Primakov (15); Yeltsin (10); Gore (2); Ivanov (2); Albright (1); Berger (1)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","422-425","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2058, Folder Title/Record ID 9806300, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"75","1998-10-05","Telcon","counted","Tier 4 - concise/confirmatory","43","3","432-434","Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House","Kosovo / Balkans (22); NATO / European Security (1)","Yeltsin (8); Milosevic (5); Ivanov (1); NATO (1); UN (1)","1","0","0","0","Standard annotation review","Standard annotation review; PDD timing check","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","3-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/dac856cd6bbd10b93c2eb815862bce44.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 100503, Clinton Digital Library item 2016-0620-M, Declassified Documents Concerning Russian President Boris Yeltsin."
"76","1998-12-30","Telcon","counted","Tier 3 - supporting candidate","62","5","435-439","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","Economic Reform / Assistance (15); Arms Control / Nonproliferation (9); Iraq / Middle East (8)","Yeltsin (7); IMF (6); Primakov (6); NATO (5); Gore (2); UN (2)","0","0","0","0","Heavy annotation review","Heavy annotation review","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","1-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/1ec29c3214c0ccb6c6ed30fd7e5b06af.pdf","Source: William J. Clinton Presidential Library, Telcons - Memoranda of Telephone Conversation, Clinton Digital Library item 119190, Clinton Digital Library item clinton-item-119190, Memorandum of Telephone Conversation with Russian President Yeltsin."
"77","1999-02-08","Memcon","pending","Hard source gap","","","","Meeting with President Boris Yeltsin of Russia, February 8, 1999, Amman, Jordan","","","0","0","0","0","Hard source follow-up","No released conversation pages located","Do not select as a document until actual conversation pages are found; use the hard-gap packet for follow-up.","Source decision: locate released actual conversation pages before any document selection.","No released February 8, 1999 Amman memcon pages located in 2015-0782-M-2","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"78","1999-03-24","Telcon","counted","Tier 3 - supporting candidate","57","5","440-445","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","Kosovo / Balkans (18); Russian Politics / Elections (4); Ukraine / Nuclear Security (3)","Yeltsin (10); Milosevic (9); Ivanov (1); NATO (1); Primakov (1)","1","3","0","0","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","432-436","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902107, Original OA/ID 2719, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"79","1999-04-19","Telcon","counted","Tier 2 - strong candidate","90","6","446-452","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","Kosovo / Balkans (33); NATO / European Security (11); Economic Reform / Assistance (2)","NATO (11); Milosevic (10); Yeltsin (10); Chernomyrdin (6); Ivanov (2); Albright (1)","1","0","0","0","Heavy annotation review","Heavy annotation review; PDD timing check","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","438-443","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902901, Original OA/ID 2724, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"80","1999-04-25","Telcon","counted","Tier 1 - likely core","215","12","453-465","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","Kosovo / Balkans (48); NATO / European Security (12); Economic Reform / Assistance (7)","Yeltsin (34); Chernomyrdin (32); Gore (29); Milosevic (27); NATO (12); Talbott (6)","1","0","1","1","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control; support/context leads","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","445-456","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903106, Original OA/ID 2725, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
