sequence,date,type,readinessBucket,actualConversationPages,packetPages,title,extractionStatus,provenanceStatus,sourceNoteStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,annotationTreatment,selectionTier,selectionScore,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,hardGapClass,nextAction,sourcePdfPages,derivativePdfUrl,sourcePacketUrl,frusSourceNote
"49","1996-09-15","Telcon","Ready to read; source-note review","2","281-283","Telephone call with President Boris Yeltsin of Russia, September 15, 1996, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 58","Needs source-note review","classification marking","Review fields","classification marking","Light annotation check","Tier 4 - concise/confirmatory","16","Russian Politics / Elections (1)","Yeltsin (13)","0","0","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","64-65","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-09-15-telcon-41.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9606243, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"50","1996-12-05","Telcon","Ready to read; source-note review","3","284-287","Telephone call with President Boris Yeltsin of Russia, December 5, 1996, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 70","Needs source-note review","classification marking","Review fields","classification marking","Standard annotation review","Tier 4 - concise/confirmatory","31","Russian Politics / Elections (3); Economic Reform / Assistance (1)","Yeltsin (14); Chernomyrdin (4); Gore (2); Primakov (1)","0","0","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","77-79","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-12-05-telcon-42.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9607896, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"51","1997-02-27","Telcon","Ready to read; source-note review","3","288-291","Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 82","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","54","NATO / European Security (16); Arms Control / Nonproliferation (11); Economic Reform / Assistance (3)","Yeltsin (10); Chernomyrdin (3); NATO (3); Gore (2); Albright (1); Talbott (1)","0","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed | face-page gaps: classification marking).","87-89","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1604, Folder Title/Record ID 9701361, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"52","1997-03-21","Memcon","Ready to read; source-note review","11","292-303","Helsinki Morning Meeting with President Boris Yeltsin","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 97","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Tier 1 - likely core","190","NATO / European Security (46); Arms Control / Nonproliferation (43); Ukraine / Nuclear Security (12)","NATO (38); Yeltsin (17); Primakov (7); Albright (3); Berger (1); Talbott (1)","0","8","1","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed).","105-115","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"53","1997-03-21","Memcon","Ready to read; source-note review","8","304-312","Helsinki Working Lunch with President Boris Yeltsin","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 97","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Heavy annotation review","Tier 2 - strong candidate","82","NATO / European Security (10); Economic Reform / Assistance (9); Russian Politics / Elections (7)","Yeltsin (23); Chernomyrdin (3); Gore (3); IMF (2); Talbott (2); Albright (1)","0","8","1","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed | face-page gaps: classification marking).","116-123","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"54","1997-03-21","Memcon","Ready to read; source-note review","4","313-317","Helsinki Afternoon Meeting with President Boris Yeltsin","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 97","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Tier 2 - strong candidate","85","NATO / European Security (14); Economic Reform / Assistance (5); Arms Control / Nonproliferation (4)","Yeltsin (19); NATO (9); Berger (6); G-7 (2); Primakov (2); Talbott (2)","0","8","1","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed).","124-127","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"55","1997-03-21","Memcon","Ready to read; source-note review","6","318-324","Helsinki Private Dinner with President Boris Yeltsin","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 97","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Tier 2 - strong candidate","95","Iraq / Middle East (15); Ukraine / Nuclear Security (12); NATO / European Security (6)","Yeltsin (31); Talbott (4); Chernomyrdin (3); NATO (2)","0","8","1","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed).","128-133","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"56","1997-05-27","Memcon","Ready to read; source-note review","8","325-333","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 137","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Tier 1 - likely core","117","NATO / European Security (29); Arms Control / Nonproliferation (10); Iraq / Middle East (7)","Yeltsin (31); Primakov (11); NATO (10); Albright (6); Berger (4); Talbott (4)","0","1","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed).","143-150","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1623, Folder Title/Record ID 9703720, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"57","1997-06-20","Memcon","Ready to read; source-note review","8","334-342","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 158","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 1 - likely core","105","NATO / European Security (14); Iraq / Middle East (13); Arms Control / Nonproliferation (11)","Yeltsin (31); Primakov (7); Albright (5); NATO (4); UN (4); Berger (3)","0","5","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","165-172","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1629, Folder Title/Record ID 9704607, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"58","1997-10-30","Telcon","Ready to read; source-note review","6","343-349","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 177","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","69","Arms Control / Nonproliferation (21); Russian Politics / Elections (5); Iraq / Middle East (3)","Yeltsin (21); Primakov (5); Albright (3); Chernomyrdin (1)","1","0","2","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","183-188","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 1651, Folder Title/Record ID 9707450, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"59","1997-11-16","Telcon","Ready to read; source-note review","3","350-353","Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 200","Needs source-note review","classification marking","Review fields","classification marking","Standard annotation review","Tier 4 - concise/confirmatory","35","Iraq / Middle East (9); Arms Control / Nonproliferation (2); Ukraine / Nuclear Security (1)","Yeltsin (11); Primakov (4); Albright (2); UN (2)","0","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","206-208","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1654, Folder Title/Record ID 9707804, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"60","1997-11-22","Telcon","Ready to read; source-note review","6","354-360","Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 213","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","46","Iraq / Middle East (10); Arms Control / Nonproliferation (7); Russian Politics / Elections (5)","Yeltsin (12); Primakov (3); Albright (2); UN (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","218-223","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1655, Folder Title/Record ID 9707985, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"61","1998-02-02","Telcon","Ready to read; source-note review","4","361-365","Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 229","Needs source-note review","classification marking","Review fields","classification marking","Standard annotation review","Tier 4 - concise/confirmatory","44","Iraq / Middle East (15); Arms Control / Nonproliferation (1); Russian Politics / Elections (1)","Yeltsin (13); Primakov (3); Albright (2); Chernomyrdin (2); Gore (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","236-239","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9800756, Original OA/ID 2014, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"62","1998-02-23","Telcon","Ready for selection reading","4","366-370","Telephone call with President Boris Yeltsin of Russia, February 23, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 247","Parsed face-page fields available","","Parsed","","Standard annotation review","Tier 4 - concise/confirmatory","42","Iraq / Middle East (7); Arms Control / Nonproliferation (6); Russian Politics / Elections (3)","Yeltsin (16); Primakov (2); UN (2)","0","0","1","1","","Keep in the chronological packet for selection comparison, annotation support, or contextual use.","253-256","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-23-telcon-51.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2018, Folder Title/Record ID 9801337, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"63","1998-04-06","Telcon","Ready for selection reading","5","371-376","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 260","Parsed face-page fields available","","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","49","Arms Control / Nonproliferation (8); Kosovo / Balkans (8); Iraq / Middle East (4)","Yeltsin (14); Milosevic (3); Gore (2); Primakov (2); Albright (1); Chernomyrdin (1)","0","0","2","0","","Complete heavy annotation review, then make the include/excerpt/background decision.","274-278","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2027, Folder Title/Record ID 9802448, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"64","1998-05-12","Telcon","Ready to read; source-note review","5","377-382","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 280","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","54","Arms Control / Nonproliferation (13); Ukraine / Nuclear Security (6); Kosovo / Balkans (5)","Yeltsin (17); Berger (2); Talbott (1)","1","0","2","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","286-290","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 2036, Folder Title/Record ID 9803457, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"65","1998-05-17","Memcon","Ready to read; source-note review","8","383-391","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 311","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 2 - strong candidate","82","Arms Control / Nonproliferation (10); Kosovo / Balkans (9); NATO / European Security (5)","Yeltsin (30); Primakov (4); Berger (3); Chernomyrdin (3); Milosevic (3); UN (3)","0","1","2","3","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","312-319","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9803752, Original OA/ID 2039, Mandatory Declassification Review 2014-0999-M, Declassified documents concerning Russian President Boris Yeltsin."
"66","1998-05-21","Telcon","Ready to read; source-note review","3","392-395","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 295","Needs source-note review","classification marking","Review fields","classification marking","Standard annotation review","Tier 4 - concise/confirmatory","30","Arms Control / Nonproliferation (2); Iraq / Middle East (1); Russian Politics / Elections (1)","Yeltsin (10)","1","2","1","3","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","301-303","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2038, Folder Title/Record ID 9803714, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"67","1998-05-28","Telcon","Ready to read; source-note review","4","396-400","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 322","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","48","Economic Reform / Assistance (15); Russian Politics / Elections (1); Ukraine / Nuclear Security (1)","Yeltsin (12); IMF (6); Albright (1); Primakov (1); UN (1)","1","0","2","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","329-332","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2039, Folder Title/Record ID 9803875, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"68","1998-06-15","Telcon","Ready to read; source-note review","5","401-406","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 336","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 2 - strong candidate","83","Kosovo / Balkans (25); NATO / European Security (7); Arms Control / Nonproliferation (4)","Yeltsin (13); Milosevic (12); NATO (7); Primakov (3); IMF (2); UN (2)","1","0","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2045, Folder Title/Record ID 9804474, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"69","1998-06-16","Telcon","Ready to read; source-note review","2","407-409","Telephone call with President Boris Yeltsin of Russia, June 16, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 352","Needs source-note review","classification marking","Review fields","classification marking","Light annotation check","Tier 4 - concise/confirmatory","22","Kosovo / Balkans (3)","Yeltsin (8); Milosevic (2); Primakov (2); Talbott (1)","1","0","0","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","359-360","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-16-telcon-59.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9804476, Original OA/ID 2045, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"70","1998-07-10","Telcon","Ready to read; source-note review","4","410-414","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 365","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","56","Russian Politics / Elections (10); Economic Reform / Assistance (7); Iraq / Middle East (3)","Yeltsin (17); IMF (5); Berger (2)","1","0","2","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","371-374","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2048, Folder Title/Record ID 9804971, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"71","1998-08-14","Telcon","Ready to read; source-note review","6","415-421","Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 378","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","68","Economic Reform / Assistance (11); Kosovo / Balkans (9); Russian Politics / Elections (9)","Yeltsin (20); IMF (5); Milosevic (5); Albright (1); Gore (1); Primakov (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","384-389","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2055, Folder Title/Record ID 9805782, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"72","1998-08-25","Telcon","Ready to read; source-note review","4","422-426","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 399","Needs source-note review","classification marking; notetaker","Review fields","classification marking; notetaker","Standard annotation review","Tier 4 - concise/confirmatory","39","Iraq / Middle East (7); Kosovo / Balkans (4); Arms Control / Nonproliferation (3)","Yeltsin (14); Chernomyrdin (2); Gore (2); Milosevic (1); UN (1)","0","0","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; notetaker | face-page gaps: classification marking; notetaker).","405-408","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2056, Folder Title/Record ID 9805956, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"73","1998-09-01","Memcon","Hard source gap","","","Meetings with President Boris Yeltsin of Russia, September 1-2, 1998, Moscow, Russia","Pending source text","No derivative PDF until actual conversation pages are found","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","","2","3","0","2","No released conversation pages located","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","No released September 1-2, 1998 Moscow memcon pages located in 2015-0782-M-2","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
