sequence,includeInVolume,proposedDocumentNumber,editorialTreatment,priority,date,type,actualConversationPages,documentTitle,suggestedThemes,source,sourcePdfPages,markerPage,localDerivativePdf,sourcePacketUrl,frusSourceNote,extractionQaStatus,declassificationIssues,annotationNeeds,compilerNotes
"60","","","Document candidate","Core chronology","1997-11-22","Telcon","6","Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House","Economic reform / assistance","2015-0782-M-2","218-223","213","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1655, Folder Title/Record ID 9707985, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 218-223 from 2015-0782-M-2 and appended original marker page 213 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"61","","","Document candidate","Core chronology","1998-02-02","Telcon","4","Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House","Economic reform / assistance","2015-0782-M-2","236-239","229","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9800756, Original OA/ID 2014, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 236-239 from 2015-0782-M-2 and appended original marker page 229 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"62","","","Document candidate","Core chronology","1998-02-23","Telcon","4","Telephone call with President Boris Yeltsin of Russia, February 23, 1998, White House","Economic reform / assistance","2015-0782-M-2","253-256","247","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-23-telcon-51.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2018, Folder Title/Record ID 9801337, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 253-256 from 2015-0782-M-2 and appended original marker page 247 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"63","","","Document candidate","Core chronology","1998-04-06","Telcon","5","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","Economic reform / assistance","2015-0782-M-2","274-278","260","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2027, Folder Title/Record ID 9802448, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 274-278 from 2015-0782-M-2 and appended original marker page 260 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"64","","","Document candidate","Core chronology","1998-05-12","Telcon","5","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","Economic reform / assistance","2015-0782-M-2","286-290","280","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 2036, Folder Title/Record ID 9803457, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 286-290 from 2015-0782-M-2 and appended original marker page 280 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"65","","","Document candidate","Core chronology","1998-05-17","Memcon","8","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","Economic reform / assistance","2015-0782-M-2","312-319","311","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9803752, Original OA/ID 2039, Mandatory Declassification Review 2014-0999-M, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 312-319 from 2015-0782-M-2 and appended original marker page 311 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"66","","","Document candidate","Core chronology","1998-05-21","Telcon","3","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","Economic reform / assistance","2015-0782-M-2","301-303","295","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2038, Folder Title/Record ID 9803714, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 301-303 from 2015-0782-M-2 and appended original marker page 295 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"67","","","Document candidate","Core chronology","1998-05-28","Telcon","4","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","Economic reform / assistance","2015-0782-M-2","329-332","322","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2039, Folder Title/Record ID 9803875, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 329-332 from 2015-0782-M-2 and appended original marker page 322 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"68","","","Document candidate","Core chronology","1998-06-15","Telcon","5","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","Economic reform / assistance","2015-0782-M-2","342-346","336","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2045, Folder Title/Record ID 9804474, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 342-346 from 2015-0782-M-2 and appended original marker page 336 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"69","","","Document candidate","Core chronology","1998-06-16","Telcon","2","Telephone call with President Boris Yeltsin of Russia, June 16, 1998, White House","Economic reform / assistance","2015-0782-M-2","359-360","352","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-16-telcon-59.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9804476, Original OA/ID 2045, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 359-360 from 2015-0782-M-2 and appended original marker page 352 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"70","","","Document candidate","Core chronology","1998-07-10","Telcon","4","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","Economic reform / assistance","2015-0782-M-2","371-374","365","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2048, Folder Title/Record ID 9804971, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 371-374 from 2015-0782-M-2 and appended original marker page 365 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"71","","","Document candidate","Core chronology","1998-08-14","Telcon","6","Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House","Economic reform / assistance","2015-0782-M-2","384-389","378","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2055, Folder Title/Record ID 9805782, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 384-389 from 2015-0782-M-2 and appended original marker page 378 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"72","","","Document candidate","Core chronology","1998-08-25","Telcon","4","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","Economic reform / assistance","2015-0782-M-2","405-408","399","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2056, Folder Title/Record ID 9805956, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 405-408 from 2015-0782-M-2 and appended original marker page 399 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"73","","","Research gap / possible editorial note","Hard source gap","1998-09-01","Memcon","","Meetings with President Boris Yeltsin of Russia, September 1-2, 1998, Moscow, Russia","Economic reform / assistance","2015-0782-M-2","No released September 1-2, 1998 Moscow memcon pages located in 2015-0782-M-2","","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","No extracted PDF; actual conversation pages not located","","","Pending source problem: no derivative PDF generated because no released September 1-2, 1998 Moscow memcon pages were located in the reviewed MDR packet, Google Drive search, Clinton Digital Library trip-book/audio/toast releases, NARA Scout/Catalog searches, or National Security Archive postings."
"74","","","Document candidate","Core chronology","1998-09-12","Telcon","4","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","Economic reform / assistance","2015-0782-M-2","422-425","415","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2058, Folder Title/Record ID 9806300, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 422-425 from 2015-0782-M-2 and appended original marker page 415 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"75","","","Document candidate","Core chronology","1998-10-05","Telcon","3","Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House","","2016-0620-M","3-5","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/dac856cd6bbd10b93c2eb815862bce44.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 100503, Clinton Digital Library item 2016-0620-M, Declassified Documents Concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 3-5 from 2016-0620-M; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"76","","","Document candidate","Core chronology","1998-12-30","Telcon","5","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","","clinton-item-119190","1-5","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/1ec29c3214c0ccb6c6ed30fd7e5b06af.pdf","Source: William J. Clinton Presidential Library, Telcons - Memoranda of Telephone Conversation, Clinton Digital Library item 119190, Clinton Digital Library item clinton-item-119190, Memorandum of Telephone Conversation with Russian President Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 1-5 from clinton-item-119190; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"77","","","Research gap / possible editorial note","Hard source gap","1999-02-08","Memcon","","Meeting with President Boris Yeltsin of Russia, February 8, 1999, Amman, Jordan","Economic reform / assistance","2015-0782-M-2","No released February 8, 1999 Amman memcon pages located in 2015-0782-M-2","","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","No extracted PDF; actual conversation pages not located","","","Pending source problem: no derivative PDF generated because no released February 8, 1999 Amman memcon pages were located; public White House reporting confirms only a brief interaction, not an available conversation record."
"78","","","Document candidate","Core chronology","1999-03-24","Telcon","5","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","Kosovo / Balkans; Economic reform / assistance","2015-0782-M-2","432-436","431","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902107, Original OA/ID 2719, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 432-436 from 2015-0782-M-2 and appended original marker page 431 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"79","","","Document candidate","Core chronology","1999-04-19","Telcon","6","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","Economic reform / assistance","2015-0782-M-2","438-443","437","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902901, Original OA/ID 2724, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 438-443 from 2015-0782-M-2 and appended original marker page 437 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"80","","","Document candidate","Core chronology","1999-04-25","Telcon","12","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","Kosovo / Balkans; Economic reform / assistance","2015-0782-M-2","445-456","444","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903106, Original OA/ID 2725, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 445-456 from 2015-0782-M-2 and appended original marker page 444 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"81","","","Document candidate","Core chronology","1999-05-02","Telcon","4","Telephone call with President Boris Yeltsin of Russia, May 2, 1999, White House","Kosovo / Balkans; Economic reform / assistance","2015-0782-M-2","470-473","469","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-05-02-telcon-71.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903364, Original OA/ID 2727, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 470-473 from 2015-0782-M-2 and appended original marker page 469 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"82","","","Document candidate","Core chronology","1999-06-07","Telcon","2","Telephone call with President Boris Yeltsin of Russia, June 7, 1999, White House","Kosovo / Balkans; Economic reform / assistance","2015-0782-M-2","479-480","478","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-07-telcon-72.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904358, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 479-480 from 2015-0782-M-2 and appended original marker page 478 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"83","","","Document candidate","Core chronology","1999-06-08","Telcon","3","Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House","Kosovo / Balkans; Economic reform / assistance","2015-0782-M-2","482-484","481","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904397, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 482-484 from 2015-0782-M-2 and appended original marker page 481 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"84","","","Document candidate","Core chronology","1999-06-10","Telcon","2","Telephone call with President Boris Yeltsin of Russia, June 10, 1999, White House","Kosovo / Balkans; Economic reform / assistance","2015-0782-M-2","488-489","487","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-10-telcon-74.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904501, Original OA/ID 2734, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 488-489 from 2015-0782-M-2 and appended original marker page 487 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"85","","","Document candidate","Core chronology","1999-06-13","Telcon","7","Telephone call with President Boris Yeltsin of Russia, June 13, 1999, White House","Economic reform / assistance","2015-0782-M-2","531-537","530","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-13-telcon-75.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905271, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 531-537 from 2015-0782-M-2 and appended original marker page 530 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"86","","","Document candidate","Core chronology","1999-06-14","Telcon","4","Telephone call with President Boris Yeltsin of Russia, June 14, 1999, White House","Economic reform / assistance","2015-0782-M-2","521-524","519","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-14-telcon-76.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905128, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 521-524 from 2015-0782-M-2 and appended original marker page 519 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"87","","","Document candidate","Core chronology","1999-06-20","Memcon","9","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","Economic reform / assistance","2015-0782-M-2","497-505","491","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2736, Folder Title/Record ID 9904842, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 497-505 from 2015-0782-M-2 and appended original marker page 491 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"88","","","Document candidate","Core chronology","1999-09-08","Telcon","5","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","Economic reform / assistance","2015-0782-M-2","548-552","541","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2748, Folder Title/Record ID 9906603, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 548-552 from 2015-0782-M-2 and appended original marker page 541 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"89","","","Document candidate","Core chronology","1999-11-19","Memcon","7","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","Economic reform / assistance","2015-0782-M-2","560-566","559","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9908997, Original OA/ID 2764, Mandatory Declassification Review 2014-0974-M, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 560-566 from 2015-0782-M-2 and appended original marker page 559 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
